miRNA	target	score	hyb_energy	mir.strt	mir.stp	gene.strt	gene.stp	Type	target_id	target_label	target_type	gene_symbol	mir_start	mir_end	target_start	target_end	coordinate_1	coordinate_2	coordinate_3	coordinate_4	original_coordinate_columns	coordinate_status	coordinate_interpretation	candidate_axis	figure4D_candidate	experimentally_evaluated	experimental_result	notes
let-7e-5p	CISH	282	-30.38	48768	22	1118	1057 1072	mRNA	CISH	CISH	mRNA	CISH	48768	22	1118	1057 1072	48768	22	1118	1057 1072	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	CTTNBP2	143	-20.18	49817	22	3580	1238	mRNA	CTTNBP2	CTTNBP2	mRNA	CTTNBP2	49817	22	3580	1238	49817	22	3580	1238	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	DMD	304	-41.75	48715	22	2691	1920 1785	mRNA	DMD	DMD	mRNA	DMD	48715	22	2691	1920 1785	48715	22	2691	1920 1785	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	EDNRB	140	-19.34	51207	22	321	159	mRNA	EDNRB	EDNRB	mRNA	EDNRB	51207	22	321	159	51207	22	321	159	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	GALNT15	286	-31.83	48789	22	2665	683 1545	mRNA	GALNT15	GALNT15	mRNA	GALNT15	48789	22	2665	683 1545	48789	22	2665	683 1545	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	GCNT3	452	-60.18	49094	22	3168	1762 2136 442	mRNA	GCNT3	GCNT3	mRNA	GCNT3	49094	22	3168	1762 2136 442	49094	22	3168	1762 2136 442	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	IL1RL1	144	-17.12	48788	22	2668	1312	mRNA	IL1RL1	IL1RL1	mRNA	IL1RL1	48788	22	2668	1312	48788	22	2668	1312	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	ITGB8	735	-102.3	48590	22	5757	1589 1229 1253 4945 4886	mRNA	ITGB8	ITGB8	mRNA	ITGB8	48590	22	5757	1589 1229 1253 4945 4886	48590	22	5757	1589 1229 1253 4945 4886	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	KLF2	154	-16.46	48619	22	1654	814	mRNA	KLF2	KLF2	mRNA	KLF2	48619	22	1654	814	48619	22	1654	814	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	KNDC1	151	-16.87	50464	22	259	30	mRNA	KNDC1	KNDC1	mRNA	KNDC1	50464	22	259	30	50464	22	259	30	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	LIFR	142	-14.85	48655	22	6632	2838	mRNA	LIFR	LIFR	mRNA	LIFR	48655	22	6632	2838	48655	22	6632	2838	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7e-5p	LIN7A	142	-15.02	48652	22	625	18	mRNA	LIN7A	LIN7A	mRNA	LIN7A	48652	22	625	18	48652	22	625	18	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	NPBWR1	144	-19.65	53424	22	2840	1392	mRNA	NPBWR1	NPBWR1	mRNA	NPBWR1	53424	22	2840	1392	53424	22	2840	1392	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	NTN1	141	-16.98	48589	22	4032	248	mRNA	NTN1	NTN1	mRNA	NTN1	48589	22	4032	248	48589	22	4032	248	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	NTRK1	144	-27.55	49499	22	1190	175	mRNA	NTRK1	NTRK1	mRNA	NTRK1	49499	22	1190	175	49499	22	1190	175	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	PTGIS	441	-64.76	48611	22	4046	3304 2876 2851	mRNA	PTGIS	PTGIS	mRNA	PTGIS	48611	22	4046	3304 2876 2851	48611	22	4046	3304 2876 2851	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	PTPRO	142	-21.78	50752	22	4413	204	mRNA	PTPRO	PTPRO	mRNA	PTPRO	50752	22	4413	204	50752	22	4413	204	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	SLC26A2	148	-18.46	48670	22	5587	5157	mRNA	SLC26A2	SLC26A2	mRNA	SLC26A2	48670	22	5587	5157	48670	22	5587	5157	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	SNPH	147	-22.14	48956	22	3274	1111	mRNA	SNPH	SNPH	mRNA	SNPH	48956	22	3274	1111	48956	22	3274	1111	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	SOCS1	165	-26.9	48827	22	426	260	mRNA	SOCS1	SOCS1	mRNA	SOCS1	48827	22	426	260	48827	22	426	260	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	ST8SIA1	299	-39.09	49062	22	8161	8086 5563	mRNA	ST8SIA1	ST8SIA1	mRNA	ST8SIA1	49062	22	8161	8086 5563	49062	22	8161	8086 5563	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	ANOS1	151	-19.35	72949	22	4121	3849	mRNA	ANOS1	ANOS1	mRNA	ANOS1	72949	22	4121	3849	72949	22	4121	3849	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	C3orf18	312	-50.91	73550	22	825	267 3	mRNA	C3orf18	C3orf18	mRNA	C3orf18	73550	22	825	267 3	73550	22	825	267 3	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	CD36	140	-11.28	73645	22	297	186	mRNA	CD36	CD36	mRNA	CD36	73645	22	297	186	73645	22	297	186	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	circLIFR	143	-14.82	17485	22	2689	1312	circRNA	circLIFR	circLIFR	circRNA	LIFR	17485	22	2689	1312	17485	22	2689	1312	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7g-5p	circPAPPA	158	-22.89	18073	22	1254	851	circRNA	circPAPPA	circPAPPA	circRNA	PAPPA	18073	22	1254	851	18073	22	1254	851	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7g-5p	circTNC	147	-17.45	17168	22	4428	743	circRNA	circTNC	circTNC	circRNA	TNC	17168	22	4428	743	17168	22	4428	743	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7g-5p	CISH	144	-15.07	73060	22	1118	1072	mRNA	CISH	CISH	mRNA	CISH	73060	22	1118	1072	73060	22	1118	1072	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	CTTNBP2	155	-19.97	74109	22	3580	1237	mRNA	CTTNBP2	CTTNBP2	mRNA	CTTNBP2	74109	22	3580	1237	74109	22	3580	1237	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	DMD	303	-36.63	73007	22	2691	1785 1920	mRNA	DMD	DMD	mRNA	DMD	73007	22	2691	1785 1920	73007	22	2691	1785 1920	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	EDNRB	285	-30.44	73258	22	2719	2546 1171	mRNA	EDNRB	EDNRB	mRNA	EDNRB	73258	22	2719	2546 1171	73258	22	2719	2546 1171	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	GALNT15	148	-15.28	73081	22	2665	683	mRNA	GALNT15	GALNT15	mRNA	GALNT15	73081	22	2665	683	73081	22	2665	683	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	GCNT3	313	-38.11	73386	22	3168	442 1762	mRNA	GCNT3	GCNT3	mRNA	GCNT3	73386	22	3168	442 1762	73386	22	3168	442 1762	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	IL1RL1	152	-16.04	73080	22	2668	1312	mRNA	IL1RL1	IL1RL1	mRNA	IL1RL1	73080	22	2668	1312	73080	22	2668	1312	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	ISG20	140	-15.31	73095	22	952	44	mRNA	ISG20	ISG20	mRNA	ISG20	73095	22	952	44	73095	22	952	44	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	ITGB8	444	-54.29	72882	22	5757	1589 933 1229	mRNA	ITGB8	ITGB8	mRNA	ITGB8	72882	22	5757	1589 933 1229	72882	22	5757	1589 933 1229	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	KLF2	289	-38.66	72911	22	1654	814 1234	mRNA	KLF2	KLF2	mRNA	KLF2	72911	22	1654	814 1234	72911	22	1654	814 1234	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	KNDC1	140	-14.86	75179	22	2470	2104	mRNA	KNDC1	KNDC1	mRNA	KNDC1	75179	22	2470	2104	75179	22	2470	2104	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	LIFR	287	-29.36	72947	22	6632	2838 2436	mRNA	LIFR	LIFR	mRNA	LIFR	72947	22	6632	2838 2436	72947	22	6632	2838 2436	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7g-5p	LIN7A	142	-12.84	72944	22	625	18	mRNA	LIN7A	LIN7A	mRNA	LIN7A	72944	22	625	18	72944	22	625	18	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	NTN1	298	-39.62	72881	22	4032	247 654	mRNA	NTN1	NTN1	mRNA	NTN1	72881	22	4032	247 654	72881	22	4032	247 654	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	PTGIS	147	-21.36	72903	22	4046	2851	mRNA	PTGIS	PTGIS	mRNA	PTGIS	72903	22	4046	2851	72903	22	4046	2851	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	RGS4	142	-19.48	73151	22	2242	1602	mRNA	RGS4	RGS4	mRNA	RGS4	73151	22	2242	1602	73151	22	2242	1602	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	SLC26A2	140	-14.26	72962	22	5587	5157	mRNA	SLC26A2	SLC26A2	mRNA	SLC26A2	72962	22	5587	5157	72962	22	5587	5157	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	SLC5A3	296	-28.01	73335	22	8905	6640 7108	mRNA	SLC5A3	SLC5A3	mRNA	SLC5A3	73335	22	8905	6640 7108	73335	22	8905	6640 7108	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	SOCS1	151	-15.77	73119	22	426	257	mRNA	SOCS1	SOCS1	mRNA	SOCS1	73119	22	426	257	73119	22	426	257	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	ST8SIA1	146	-14.23	73354	22	8161	8086	mRNA	ST8SIA1	ST8SIA1	mRNA	ST8SIA1	73354	22	8161	8086	73354	22	8161	8086	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7g-5p	TMEM200A	144	-14.9	73140	22	1169	978	mRNA	TMEM200A	TMEM200A	mRNA	TMEM200A	73140	22	1169	978	73140	22	1169	978	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7i-5p	ANOS1	154	-19.63	60803	22	4121	3851	mRNA	ANOS1	ANOS1	mRNA	ANOS1	60803	22	4121	3851	60803	22	4121	3851	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7i-5p	C3orf18	160	-26.25	61404	22	825	267	mRNA	C3orf18	C3orf18	mRNA	C3orf18	61404	22	825	267	61404	22	825	267	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7i-5p	circCREBBP	283	-40.1	14249	22	2519	2307 1593	circRNA	circCREBBP	circCREBBP	circRNA	CREBBP	14249	22	2519	2307 1593	14249	22	2519	2307 1593	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7i-5p	circLIFR	145	-14.9	14210	22	2689	1312	circRNA	circLIFR	circLIFR	circRNA	LIFR	14210	22	2689	1312	14210	22	2689	1312	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7i-5p	circPAPPA	161	-25.08	14389	22	1254	849	circRNA	circPAPPA	circPAPPA	circRNA	PAPPA	14389	22	1254	849	14389	22	1254	849	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7i-5p	circTNC	143	-14.16	14175	22	4428	743	circRNA	circTNC	circTNC	circRNA	TNC	14175	22	4428	743	14175	22	4428	743	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
